time_ms,raw,filtered
47541,-432248,-431755
47553,-432280,-431821
47564,-432291,-431880
47576,-432321,-431936
47587,-432324,-431985
47599,-432326,-432028
47610,-432356,-432069
47621,-432343,-432104
47633,-432290,-432128
47644,-432340,-432155
47656,-432421,-432189
47667,-432424,-432219
47679,-432476,-432252
47690,-432485,-432282
47702,-432435,-432302
47713,-432485,-432325
47725,-432528,-432351
47736,-432563,-432378
47747,-432605,-432407
47759,-432556,-432426
47770,-432561,-432443
47782,-432596,-432463
47793,-432728,-432497
47805,-432755,-432530
47816,-432678,-432549
47828,-432697,-432568
47839,-432710,-432586
47851,-432775,-432610
47862,-432956,-432654
47873,-432890,-432684
47885,-432856,-432706
47896,-432875,-432728
47908,-432850,-432744
47919,-432933,-432768
47931,-432804,-432773
47942,-432644,-432757
47954,-432613,-432739
47965,-432540,-432715
47977,-432605,-432702
47988,-432645,-432695
47999,-432551,-432677
48011,-432572,-432664
48022,-432751,-432675
48034,-432784,-432689
48045,-432668,-432687
48057,-432618,-432679
48068,-432666,-432678
48080,-432652,-432675
48091,-432716,-432681
48103,-432734,-432688
48114,-432784,-432700
48125,-432770,-432709
48137,-432955,-432740
48148,-433088,-432784
48160,-433036,-432816
48171,-433059,-432847
48183,-433058,-432874
48194,-433106,-432903
48206,-433155,-432935
48217,-433092,-432955
48229,-433151,-432980
48240,-433283,-433018
48251,-433359,-433061
48263,-433376,-433101
48274,-433522,-433154
48286,-433596,-433210
48297,-433733,-433276
48309,-433859,-433349
48320,-433821,-433408
48332,-433920,-433472
48343,-434095,-433550
48354,-434002,-433607
48366,-434192,-433681
48377,-434381,-433769
48389,-434428,-433852
48400,-434530,-433937
48412,-434568,-434016
48423,-434656,-434096
48435,-434783,-434182
48446,-434971,-434281
48458,-435091,-434383
48469,-435097,-434473
48481,-435220,-434567
48492,-435317,-434661
48503,-435490,-434765
48515,-435618,-434872
48526,-435578,-434961
48538,-435650,-435048
48549,-435949,-435161
48561,-436132,-435283
48572,-436197,-435398
48584,-436310,-435512
48595,-436406,-435624
48606,-436533,-435738
48618,-436551,-435840
48629,-436639,-435940
48641,-436941,-436066
48652,-437142,-436201
48664,-437076,-436311
48675,-437234,-436427
48687,-437394,-436548
48698,-437473,-436664
48710,-437606,-436782
48721,-437693,-436896
48732,-437714,-436999
48744,-437903,-437112
48755,-438141,-437241
48767,-438276,-437371
48778,-438310,-437489
48790,-438442,-437609
48801,-438558,-437728
48813,-438575,-437834
48824,-438644,-437936
48836,-438774,-438041
48847,-438854,-438143
48858,-439105,-438264
48870,-439219,-438384
48881,-439298,-438499
48893,-439354,-438606
48904,-439631,-438735
48916,-439693,-438855
48927,-439766,-438969
48939,-439843,-439079
48950,-439914,-439184
48962,-439937,-439279
48973,-440108,-439383
48985,-440296,-439498
48996,-440370,-439607
49007,-440507,-439720
49019,-440755,-439850
49030,-440934,-439986
49042,-440944,-440106
49053,-440997,-440218
49065,-441023,-440319
49076,-441183,-440427
49088,-441261,-440532
49099,-441485,-440652
49111,-441593,-440770
49122,-441814,-440901
49133,-441897,-441026
49145,-441957,-441143
49156,-442006,-441251
49168,-442098,-441357
49179,-442243,-441468
49191,-442347,-441578
49202,-442528,-441697
